DisplayNameUSA,ItemCodeUSA,IsBundleUSA,DisplayNameCanada,ItemCodeCanada,IsBundleCanada
Influencer Bundle,Bundle001,true,Influencer Bundle,Bundle002,true
Shaker,40007 Shaker,false,Shaker,40007 Shaker,false
Triple Berry Sugar Rimmer,40008 Triple Berry Sugar Rimmer,false,Triple Berry Sugar Rimmer,40008 Triple Berry Sugar Rimmer,false
Spiced Tamarind Salt Rimmer,40009 Spiced Tamarind Salt Rimmer,false,Spiced Tamarind Salt Rimmer,40009 Spiced Tamarind Salt Rimmer,false
Pink Himalayan Margarita Salt Rimmer,40010 Pink Himalayan Margarita Salt Rimmer,false,Pink Himalayan Margarita Salt Rimmer,40010 Pink Himalayan Margarita Salt Rimmer,false
Sizzling Spicy Salt Rimmer,40011 Sizzling Spicy Salt Rimmer,false,Sizzling Spicy Salt Rimmer,40011 Sizzling Spicy Salt Rimmer,false
Golden Demerara Rimming Sugar,40012 Golden Demerara Rimming Sugar,false,Golden Demerara Rimming Sugar,40012 Golden Demerara Rimming Sugar,false
Sweet Cinnamon Vanilla Sugar Rimmer,40013 Sweet Cinnamon Vanilla Sugar Rimmer,false,Sweet Cinnamon Vanilla Sugar Rimmer,40013 Sweet Cinnamon Vanilla Sugar Rimmer,false
Insulated Tumbler,40014 Insulated Tumbler,false,Insulated Tumbler,40014 Insulated Tumbler,false
Lowball Glassware Double Walled,40015 Lowball Glassware,false,Lowball Glassware Double Walled,40015 Lowball Glassware,false
Highball Glassware Double Walled,40016 Highball Glassware,false,Highball Glassware Double Walled,40016 Highball Glassware,false
Zesty Lime Salt Rimmer,40035 Zesty Lime Salt Rimmer,false,Zesty Lime Salt Rimmer,40035 Zesty Lime Salt Rimmer,false
Capsule Drawer,40036 Capsule Drawer,false,Ice Maker - Sphere,40040 Ice Maker - Sphere,false
Ice Maker - Sphere,40040 Ice Maker - Sphere,false,Bartesian Travel Bag,40047 Bartesian Travel Bag,false
Bartesian Travel Bag,40047 Bartesian Travel Bag,false,Lowball Glassware,40051 Lowball Glassware,false
Lowball Glassware,40051 Lowball Glassware,false,Highball Glassware,40052 Highball Glassware,false
Highball Glassware,40052 Highball Glassware,false,Premium Cocktail Menu: 2024 Edition,40054 Premium Cocktail Menu: 2024 Edition,false
Premium Cocktail Menu: 2024 Edition,40054 Premium Cocktail Menu: 2024 Edition,false,Sour Candy Sugar Rimmer,40055 Sour Candy Sugar Rimmer,false
Sour Candy Sugar Rimmer,40055 Sour Candy Sugar Rimmer,false,The Bartesian Cocktail Maker Machine,55300 The Bartesian Cocktail Maker Machine,false
The Bartesian Cocktail Maker Machine,55300 The Bartesian Cocktail Maker Machine,false,The Bartesian Commercial Cocktail Maker Machine,55306 The Bartesian Commercial Cocktail Maker Machine,false
The Bartesian Commercial Cocktail Maker Machine,55306 The Bartesian Commercial Cocktail Maker Machine,false,Duet Machine,55310 Duet Machine,false
Duet Machine,55310 Duet Machine,false,8-Pack Whiskey Lovers Variety Pack - Canada,55397C 8-Pack Whiskey Lovers Variety Pack - Canada,false
8-Pack Whiskey Lovers Variety Pack,55397 8-Pack Whiskey Lovers Variety Pack,false,8-Pack Southside - Canada,55407C 8-Pack Southside - Canada,false
8-Pack Southside,55407 8-Pack Southside,false,8-Pack Rum Runner - Canada,55408C 8-Pack Rum Runner - Canada,false
8-Pack Rum Runner,55408 8-Pack Rum Runner,false,8-Pack Westside - Canada,55409C 8-Pack Westside - Canada,false
8-Pack Westside,55409 8-Pack Westside,false,8-Pack Low-Cal Old Fashioned - Canada,55412C 8-Pack Low-Cal Old Fashioned - Canada,false
8-Pack Low-Cal Old Fashioned,55412 8-Pack Low-Cal Old Fashioned,false,8-Pack Low-Cal Margarita - Canada,55413C 8-Pack Low-Cal Margarita - Canada,false
8-Pack Low-Cal Margarita,55413 8-Pack Low-Cal Margarita,false,8-Pack Amaretto Sour - Canada,55414C 8-Pack Amaretto Sour - Canada,false
8-Pack Amaretto Sour,55414 8-Pack Amaretto Sour,false,8-Pack Apple Pie - Canada,55415C 8-Pack Apple Pie - Canada,false
8-Pack Apple Pie,55415 8-Pack Apple Pie,false,8-Pack Classic Collection Variety Pack - Canada,55417C 8-Pack Classic Collection Variety Pack - Canada,false
8-Pack Classic Collection Variety Pack,55417 8-Pack Classic Collection Variety Pack,false,8-Pack Margarita - Canada,55418C 8-Pack Margarita - Canada,false
8-Pack Margarita,55418 8-Pack Margarita,false,8-Pack Cosmopolitan - Canada,55419C 8-Pack Cosmopolitan - Canada,false
8-Pack Cosmopolitan,55419 8-Pack Cosmopolitan,false,8-Pack Whiskey Sour - Canada,55420C 8-Pack Whiskey Sour - Canada,false
8-Pack Whiskey Sour,55420 8-Pack Whiskey Sour,false,8-Pack Rum Breeze - Canada,55421C 8-Pack Rum Breeze - Canada,false
8-Pack Rum Breeze,55421 8-Pack Rum Breeze,false,8-Pack Sex on the Beach - Canada,55422C 8-Pack Sex on the Beach - Canada,false
8-Pack Sex on the Beach,55422 8-Pack Sex on the Beach,false,8-Pack Uptown Rocks - Canada,55423C 8-Pack Uptown Rocks - Canada,false
8-Pack Uptown Rocks,55423 8-Pack Uptown Rocks,false,8-Pack Old Fashioned - Canada,55424C 8-Pack Old Fashioned - Canada,false
8-Pack Old Fashioned,55424 8-Pack Old Fashioned,false,8-Pack Long Island Iced Tea - Canada,55427C 8-Pack Long Island Iced Tea - Canada,false
8-Pack Long Island Iced Tea,55427 8-Pack Long Island Iced Tea,false,8-Pack Mango Margarita - Canada,55428C 8-Pack Mango Margarita - Canada,false
8-Pack Mango Margarita,55428 8-Pack Mango Margarita,false,8-Pack Paper Plane - Canada,55430C 8-Pack Paper Plane - Canada,false
8-Pack Paper Plane,55430 8-Pack Paper Plane,false,8-Pack Manhattan - Canada,55431C 8-Pack Manhattan - Canada,false
8-Pack Manhattan,55431 8-Pack Manhattan,false,8-Pack Mai Tai - Canada,55432C 8-Pack Mai Tai - Canada,false
8-Pack Mai Tai,55432 8-Pack Mai Tai,false,8-Pack Negroni - Canada,55433C 8-Pack Negroni - Canada,false
8-Pack Negroni,55433 8-Pack Negroni,false,8-Pack Aviation - Canada,55434C 8-Pack Aviation - Canada,false
8-Pack Aviation,55434 8-Pack Aviation,false,8-Pack Ginger Peach Iced Tea - Canada,55435C 8-Pack Ginger Peach Iced Tea - Canada,false
8-Pack Ginger Peach Iced Tea,55435 8-Pack Ginger Peach Iced Tea,false,8-Pack Spicy Margarita - Canada,55438C 8-Pack Spicy Margarita - Canada,false
8-Pack Mint Julep,55436 8-Pack Mint Julep,false,8-Pack Low-Cal Cosmopolitan - Canada,55442C 8-Pack Low-Cal Cosmopolitan - Canada,false
8-Pack Spicy Margarita,55438 8-Pack Spicy Margarita,false,8-Pack Low-Cal Whiskey Sour - Canada,55443C 8-Pack Low-Cal Whiskey Sour - Canada,false
8-Pack Low-Cal Cosmopolitan,55442 8-Pack Low-Cal Cosmopolitan,false,8-Pack Whiskey Smash - Canada,55444C 8-Pack Whiskey Smash - Canada,false
8-Pack Low-Cal Whiskey Sour,55443 8-Pack Low-Cal Whiskey Sour,false,8-Pack Lemon Drop - Canada,55446C 8-Pack Lemon Drop - Canada,false
8-Pack Whiskey Smash,55444 8-Pack Whiskey Smash,false,8-Pack Jalapeno Lime Shrub - Canada,55448C 8-Pack Jalapeno Lime Shrub - Canada,false
8-Pack Lemon Drop,55446 8-Pack Lemon Drop,false,8-Pack Northside - Canada,55450C 8-Pack Northside - Canada,false
8-Pack Jalapeno Lime Shrub,55448 8-Pack Jalapeno Lime Shrub,false,8-Pack Pineapple Sage Vodka Still - Canada,55454C 8-Pack Pineapple Sage Vodka Still - Canada,false
8-Pack Northside,55450 8-Pack Northside,false,8-Pack Hurricane - Canada,55455C 8-Pack Hurricane - Canada,false
8-Pack Pineapple Sage Vodka Still,55454 8-Pack Pineapple Sage Vodka Still,false,8-Pack Blackberry Margarita - Canada,55456C 8-Pack Blackberry Margarita - Canada,false
8-Pack Hurricane,55455 8-Pack Hurricane,false,8-Pack Pineapple Margarita - Canada,55457C 8-Pack Pineapple Margarita - Canada,false
8-Pack Blackberry Margarita,55456 8-Pack Blackberry Margarita,false,8-Pack Hemingway Daiquiri - Canada,55458C 8-Pack Hemingway Daiquiri - Canada,false
8-Pack Pineapple Margarita,55457 8-Pack Pineapple Margarita,false,8-Pack Sidecar - Canada,55459C 8-Pack Sidecar - Canada,false
8-Pack Hemingway Daiquiri,55458 8-Pack Hemingway Daiquiri,false,8-Pack Raspberry Ginger Gimlet - Canada,55463C 8-Pack Raspberry Ginger Gimlet - Canada,false
8-Pack Sidecar,55459 8-Pack Sidecar,false,8-Pack Passion Fruit Margarita - Canada,55464C 8-Pack Passion Fruit Margarita - Canada,false
8-Pack Raspberry Ginger Gimlet,55463 8-Pack Raspberry Ginger Gimlet,false,8-Pack Strawberry Guava Margarita - Canada,55465C 8-Pack Strawberry Guava Margarita - Canada,false
8-Pack Passion Fruit Margarita,55464 8-Pack Passion Fruit Margarita,false,8-Pack White Sangria - Canada,55474C 8-Pack White Sangria - Canada,false
8-Pack Strawberry Guava Margarita,55465 8-Pack Strawberry Guava Margarita,false,8-Pack Tequila Sunrise - Canada,55477C 8-Pack Tequila Sunrise - Canada,false
8-Pack White Sangria,55474 8-Pack White Sangria,false,8-Pack Jungle Bird - Canada,55478C 8-Pack Jungle Bird - Canada,false
8-Pack Tequila Sunrise,55477 8-Pack Tequila Sunrise,false,8-Pack Mistletoe Margarita - Canada,55480C 8-Pack Mistletoe Margarita - Canada,false
8-Pack Jungle Bird,55478 8-Pack Jungle Bird,false,8-Pack Bees Knees - Canada,55485C 8-Pack Bees Knees - Canada,false
8-Pack Bees Knees,55485 8-Pack Bees Knees,false,8-Pack Penicillin - Canada,55490C 8-Pack Penicillin - Canada,false
8-Pack Penicillin,55490 8-Pack Penicillin,false,8-Pack Painkiller Capsules - Canada,55491C 8-Pack Painkiller Capsules - Canada,false
8-Pack Painkiller Capsules,55491 8-Pack Painkiller Capsules,false,8-Pack Blood and Sand - Canada,55492C 8-Pack Blood and Sand - Canada,false
8-Pack Blood and Sand,55492 8-Pack Blood and Sand,false,8-Pack Pomegranate Margarita - Canada,55495C 8-Pack Pomegranate Margarita - Canada,false
8-Pack Pomegranate Margarita,55495 8-Pack Pomegranate Margarita,false,8-Pack Espresso Martini - Canada,55506C 8-Pack Espresso Martini - Canada,false
8-Pack Espresso Martini,55506 8-Pack Espresso Martini,false,8-Pack Tropical Collection - Canada,55507C 8-Pack Tropical Collection - Canada,false
8-Pack Tropical Collection,55507 8-Pack Tropical Collection,false,8-Pack Dirty Vodka Martini - Canada,55508C 8-Pack Dirty Vodka Martini - Canada,false
8-Pack Dirty Vodka Martini,55508 8-Pack Dirty Vodka Martini,false,8-Pack Rum Swizzle - Canada,55511C 8-Pack Rum Swizzle - Canada,false
